Model,Positive_Precision,Positive_Recall,Positive_F1,Positive_Support,Neutral_Precision,Neutral_Recall,Neutral_F1,Neutral_Support,Negative_Precision,Negative_Recall,Negative_F1,Negative_Support,Macro_F1
deepseek-r1:1.5b,1.0,0.058823529411764705,0.1111111111111111,17,0.17647058823529413,1.0,0.3,3,0.0,0.0,0.0,0,0.13703703703703704
deepseek-r1:7b,1.0,0.47058823529411764,0.6399999999999999,17,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.2133333333333333
deepseek-r1:8b,0.8421052631578947,0.9411764705882353,0.8888888888888888,17,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.2962962962962963
DistilBERT - sst2,0.9285714285714286,0.7647058823529411,0.8387096774193549,17,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.2795698924731183
gemma2:2b,0.9333333333333333,0.8235294117647058,0.8749999999999999,17,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.29166666666666663
gemma2:9b,0.9444444444444444,1.0,0.9714285714285714,17,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.3238095238095238
internlm2:7b,0.8235294117647058,0.8235294117647058,0.8235294117647058,17,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.2745098039215686
internlm2:1.8b,1.0,0.29411764705882354,0.45454545454545453,17,0.2,0.3333333333333333,0.25,3,0.0,0.0,0.0,0,0.23484848484848486
llama3.2:1b,1.0,0.29411764705882354,0.45454545454545453,17,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.15151515151515152
llama3.2:3b,0.9375,0.8823529411764706,0.9090909090909091,17,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.30303030303030304
mistral-small:22b,1.0,0.8823529411764706,0.9375,17,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.0,0.0,0.0,0,0.5347222222222222
phi3.5,0.8888888888888888,0.9411764705882353,0.9142857142857143,17,1.0,0.3333333333333333,0.5,3,0.0,0.0,0.0,0,0.47142857142857136
phi4,0.9411764705882353,0.9411764705882353,0.9411764705882353,17,0.5,0.3333333333333333,0.4,3,0.0,0.0,0.0,0,0.4470588235294118
qwen2.5:0.5b,0.9375,0.8823529411764706,0.9090909090909091,17,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.30303030303030304
qwen2.5:1.5b,1.0,0.47058823529411764,0.6399999999999999,17,0.2,0.3333333333333333,0.25,3,0.0,0.0,0.0,0,0.29666666666666663
qwen2.5:3b,1.0,0.5882352941176471,0.7407407407407407,17,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.0,0.0,0.0,0,0.35802469135802467
qwen2.5:7b,1.0,0.6470588235294118,0.7857142857142858,17,0.5,0.6666666666666666,0.5714285714285715,3,0.0,0.0,0.0,0,0.4523809523809524
smollm2:135m,0.85,1.0,0.9189189189189189,17,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.3063063063063063
smollm2:360m,0.85,1.0,0.9189189189189189,17,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.3063063063063063
smollm2:1.7b,1.0,0.5882352941176471,0.7407407407407407,17,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.24691358024691357
