Model,Macro_F1,Positive_F1,Negative_F1
DeepSeek-R1:1.5b,0.047619047619047616,0.0,0.09523809523809523
DeepSeek-R1:7b,0.3732193732193732,0.5925925925925926,0.15384615384615385
DeepSeek-R1:8b,0.48717948717948717,0.9743589743589743,0.0
DistilBERT-sst2,0.3939393939393939,0.7878787878787878,0.0
Gemma2:2b,0.53125,0.8125000000000001,0.25
Gemma2:9b,0.8198198198198199,0.972972972972973,0.6666666666666666
InternLM2:7b,0.7222222222222222,0.9444444444444444,0.5
InternLM2:1.8b,0.30666666666666664,0.4799999999999999,0.13333333333333333
Llama3.2:1b,0.3732193732193732,0.5925925925925926,0.15384615384615385
Llama3.2:3b,0.6571428571428571,0.9142857142857143,0.4
Mistral-small:22b,0.8198198198198199,0.972972972972973,0.6666666666666666
Phi-3.5:3.8b,0.7222222222222222,0.9444444444444444,0.5
Phi4:14b,0.7222222222222222,0.9444444444444444,0.5
Qwen2.5:0.5b,0.5670995670995671,0.8484848484848484,0.2857142857142857
Qwen2.5:1.5b,0.3732193732193732,0.5925925925925926,0.15384615384615385
Qwen2.5:3b,0.34065934065934067,0.5384615384615384,0.14285714285714288
Qwen2.5:7b,0.4357366771159875,0.6896551724137931,0.18181818181818182
SmolLM2:135m,0.48717948717948717,0.9743589743589743,0.0
SmolLM2:360m,0.48717948717948717,0.9743589743589743,0.0
SmolLM2:1.7b,0.5670995670995671,0.8484848484848484,0.2857142857142857
