Model,Macro_F1,Positive_F1,Neutral_F1,Negative_F1
DeepSeek-R1:1.5b,0.13703703703703704,0.1111111111111111,0.3,0.0
DeepSeek-R1:7b,0.2133333333333333,0.6399999999999999,0.0,0.0
DeepSeek-R1:8b,0.2962962962962963,0.8888888888888888,0.0,0.0
DistilBERT-sst2,0.2795698924731183,0.8387096774193549,0.0,0.0
Gemma2:2b,0.29166666666666663,0.8749999999999999,0.0,0.0
Gemma2:9b,0.3238095238095238,0.9714285714285714,0.0,0.0
InternLM2:7b,0.2745098039215686,0.8235294117647058,0.0,0.0
InternLM2:1.8b,0.23484848484848486,0.45454545454545453,0.25,0.0
Llama3.2:1b,0.15151515151515152,0.45454545454545453,0.0,0.0
Llama3.2:3b,0.30303030303030304,0.9090909090909091,0.0,0.0
Mistral-small:22b,0.5347222222222222,0.9375,0.6666666666666666,0.0
Phi-3.5:3.8b,0.47142857142857136,0.9142857142857143,0.5,0.0
Phi4:14b,0.4470588235294118,0.9411764705882353,0.4,0.0
Qwen2.5:0.5b,0.30303030303030304,0.9090909090909091,0.0,0.0
Qwen2.5:1.5b,0.29666666666666663,0.6399999999999999,0.25,0.0
Qwen2.5:3b,0.35802469135802467,0.7407407407407407,0.3333333333333333,0.0
Qwen2.5:7b,0.4523809523809524,0.7857142857142858,0.5714285714285715,0.0
SmolLM2:135m,0.3063063063063063,0.9189189189189189,0.0,0.0
SmolLM2:360m,0.3063063063063063,0.9189189189189189,0.0,0.0
SmolLM2:1.7b,0.24691358024691357,0.7407407407407407,0.0,0.0
